4294,"Change reason description"
4295,"Change reason description code"
4343,"Response type code"
4344,"Response description"
4345,"Response description code"
4347,"Product identifier code qualifier"
4383,"Bank operation code"
4400,"Instruction description"
4401,"Instruction description code"
4403,"Instruction type code qualifier"
4404,"Status description"
4405,"Status description code"
4407,"Sample process step code"
4415,"Test method identifier"
4416,"Test description"
4419,"Test administration method code"
4424,"Test reason name"
4425,"Test reason name code"
4431,"Payment guarantee means code"
4435,"Payment channel code"
4437,"Account type code qualifier"
4439,"Payment conditions code"
4440,"Free text"
4441,"Free text description code"
4447,"Free text format code"
4451,"Text subject code qualifier"
4453,"Free text function code"
4455,"Back order arrangement type code"
4457,"Substitution condition code"
4461,"Payment means code"
4463,"Intra-company payment indicator code"
4465,"Adjustment reason description code"
4467,"Payment method code"
4469,"Payment purpose code"
4471,"Settlement means code"
4472,"Information type"
4473,"Information type code"
4474,"Accounting entry type name"
4475,"Accounting entry type name code"
4487,"Financial transaction type code"
4493,"Delivery instruction code"
4494,"Insurance cover description"
4495,"Insurance cover description code"
4497,"Insurance cover type code"
4499,"Inventory movement reason code"
4501,"Inventory movement direction code"
4503,"Inventory balance method code"
4505,"Credit cover request type code"
4507,"Credit cover response type code"
4509,"Credit cover response reason code"
4510,"Requested information description"
4511,"Requested information description code"
4513,"Maintenance operation code"
4517,"Seal condition code"
4519,"Definition identifier"
4521,"Premium calculation component identifier"
4522,"Premium calculation component value category identifier"
4525,"Seal type code"
5004,"Monetary amount"
5006,"Monetary amount function description"
5007,"Monetary amount function description code"
5013,"Index code qualifier"
5025,"Monetary amount type code qualifier"
5027,"Index type identifier"
5030,"Index text"
5039,"Index representation code"
5047,"Contribution code qualifier"
5048,"Contribution type description"
5049,"Contribution type description code"
5104,"Monetary amount function detail description"
5105,"Monetary amount function detail description code"
5118,"Price amount"
5125,"Price code qualifier"
5152,"Duty or tax or fee type name"
5153,"Duty or tax or fee type name code"
5160,"Total monetary amount"
5189,"Allowance or charge identification code"
5213,"Sub-line item price change operation code"
5237,"Charge category code"
5242,"Rate or tariff class description"
5243,"Rate or tariff class description code"
5245,"Percentage type code qualifier"
5249,"Percentage basis identification code"
5261,"Charge unit code"
5263,"Rate type identifier"
5267,"Service type code"
5273,"Duty or tax or fee rate basis code"
5275,"Supplementary rate or tariff code"
5278,"Duty or tax or fee rate"
5279,"Duty or tax or fee rate code"
5283,"Duty or tax or fee function code qualifier"
5284,"Unit price basis quantity"
5286,"Duty or tax or fee assessment basis quantity"
5289,"Duty or tax or fee account code"
5305,"Duty or tax or fee category code"
5307,"Tax or duty or fee payment due date code"
5314,"Remuneration type name"
5315,"Remuneration type name code"
5375,"Price type code"
5377,"Price change type code"
5379,"Product group type code"
5387,"Price specification code"
5388,"Product group name"
5389,"Product group name code"
5393,"Price multiplier type code qualifier"
5394,"Price multiplier rate"
5402,"Currency exchange rate"
5419,"Rate type code qualifier"
5420,"Unit price basis rate"
5463,"Allowance or charge code qualifier"
5479,"Relation code"
5482,"Percentage"
5495,"Sub-line indicator code"
5501,"Rate plan code"
6000,"Latitude degree"
6002,"Longitude degree"
6008,"Height measure"
6029,"Geographical position code qualifier"
6060,"Quantity"
6063,"Quantity type code qualifier"
6064,"Variance quantity"
6066,"Control total quantity"
6069,"Control total type code qualifier"
6071,"Frequency code qualifier"
6072,"Frequency rate"
6074,"Confidence percent"
6077,"Result representation code"
6079,"Result normalcy code"
6082,"Dosage description"
6083,"Dosage description identifier"
6085,"Dosage administration code qualifier"
6087,"Result value type code qualifier"
6096,"Altitude"
6113,"Length type code"
6140,"Width measure"
6145,"Dimension type code qualifier"
6152,"Range maximum quantity"
6154,"Non-discrete measurement name"
6155,"Non-discrete measurement name code"
6162,"Range minimum quantity"
6167,"Range type code qualifier"
6168,"Length measure"
6173,"Size type code qualifier"
6174,"Size measure"
6176,"Occurrences maximum number"
6178,"Edit field length measure"
6182,"Diameter measure"
6245,"Temperature type code qualifier"
6246,"Temperature degree"
6311,"Measurement purpose code qualifier"
6313,"Measured attribute code"
6314,"Measure"
6321,"Measurement significance code"
6331,"Statistic type code qualifier"
6341,"Exchange rate currency market identifier"
6343,"Currency type code qualifier"
6345,"Currency identification code"
6347,"Currency usage code qualifier"
6348,"Currency rate"
6350,"Units quantity"
6353,"Unit type code qualifier"
6410,"Measurement unit name"
6411,"Measurement unit code"
6412,"Clinical information description"
6413,"Clinical information description identifier"
6415,"Clinical information type code qualifier"
6426,"Process stages quantity"
6428,"Process stages actual quantity"
6432,"Significant digits quantity"
6434,"Statistical concept identifier"
7001,"Physical or logical state type code qualifier"
7006,"Physical or logical state description"
7007,"Physical or logical state description code"
7008,"Item description"
7009,"Item description code"
7011,"Item availability code"
7036,"Characteristic description"
7037,"Characteristic description code"
7039,"Sample selection method code"
7040,"Power type description"
7041,"Power type code"
7045,"Sample state code"
7047,"Sample direction code"
7059,"Class type code"
7064,"Type of packages"
7065,"Package type description code"
7073,"Packaging terms and conditions code"
7075,"Packaging level code"
7077,"Description format code"
7081,"Item characteristic code"
7083,"Configuration operation code"
7085,"Cargo type classification code"
7088,"Dangerous goods flashpoint description"
7102,"Shipping marks description"
7106,"Shipment flashpoint degree"
7110,"Characteristic value description"
7111,"Characteristic value description code"
7124,"United Nations Dangerous Goods (UNDG) identifier"
7130,"Customer shipment authorisation identifier"
7133,"Product details type code qualifier"
7134,"Product name"
7135,"Product identifier"
7139,"Product characteristic identification code"
7140,"Item identifier"
7143,"Item type identification code"
7160,"Special service description"
7161,"Special service description code"
7164,"Hierarchical structure level identifier"
7166,"Hierarchical structure parent identifier"
7168,"Level number"
7171,"Hierarchical structure relationship code"
7173,"Hierarchy object code qualifier"
7175,"Rule part identifier"
7176,"Risk object sub-type description"
7177,"Risk object sub-type description identifier"
7179,"Risk object type identifier"
7186,"Process type description"
7187,"Process type description code"
7188,"Test method revision identifier"
7190,"Process description"
7191,"Process description code"
7224,"Package quantity"
7233,"Packaging related description code"
7240,"Item total quantity"
7273,"Service requirement code"
7293,"Sector area identification code qualifier"
7294,"Requirement or condition description"
7295,"Requirement or condition description identifier"
7297,"Set type code qualifier"
7299,"Requirement designator code"
7357,"Commodity identification code"
7361,"Customs goods identifier"
7364,"Processing indicator description"
7365,"Processing indicator description code"
7383,"Surface or layer code"
7402,"Object identifier"
7405,"Object identification code qualifier"
7418,"Hazardous material category name"
7419,"Hazardous material category name code"
7429,"Indexing structure code qualifier"
7431,"Agreement type code qualifier"
7433,"Agreement type description code"
7434,"Agreement type description"
7436,"Level one identifier"
7438,"Level two identifier"
7440,"Level three identifier"
7442,"Level four identifier"
7444,"Level five identifier"
7446,"Level six identifier"
7449,"Membership type code qualifier"
7450,"Membership category description"
7451,"Membership category description code"
7452,"Membership status description"
7453,"Membership status description code"
7455,"Membership level code qualifier"
7456,"Membership level description"
7457,"Membership level description code"
7458,"Attendee category description"
7459,"Attendee category description code"
7491,"Inventory type code"
7493,"Damage details code qualifier"
7495,"Object type code qualifier"
7497,"Structure component function code qualifier"
7500,"Damage type description"
7501,"Damage type description code"
7502,"Damage area description"
7503,"Damage area description code"
7504,"Unit or component type description"
7505,"Unit or component type description code"
7506,"Component material description"
7507,"Component material description code"
7508,"Damage severity description"
7509,"Damage severity description code"
7511,"Marking type code"
7512,"Structure component identifier"
7515,"Structure type code"
7517,"Benefit and coverage code"
8015,"Traffic restriction code"
8017,"Traffic restriction application code"
8022,"Freight and other charges description"
8023,"Freight and other charges description identifier"
8024,"Conveyance call purpose description"
8025,"Conveyance call purpose description code"
8028,"Means of transport journey identifier"
8035,"Traffic restriction type code qualifier"
8051,"Transport stage code qualifier"
8053,"Equipment type code qualifier"
8066,"Transport mode name"
8067,"Transport mode name code"
8077,"Equipment supplier code"
8078,"Additional hazard classification identifier"
8092,"Hazard code version identifier"
8101,"Transit direction indicator code"
8126,"Transport emergency card identifier"
8154,"Equipment size and type description"
8155,"Equipment size and type description code"
8158,"Orange hazard placard upper part identifier"
8169,"Full or empty indicator code"
8178,"Transport means description"
8179,"Transport means description code"
8186,"Orange hazard placard lower part identifier"
8211,"Hazardous cargo transport authorisation code"
8212,"Transport means identification name"
8213,"Transport means identification name identifier"
8215,"Transport means change indicator code"
8216,"Journey stops quantity"
8219,"Traveller accompanied by infant indicator code"
8246,"Dangerous goods marking identifier"
8249,"Equipment status code"
8255,"Packing instruction type code"
8260,"Equipment identifier"
8273,"Dangerous goods regulations code"
8275,"Container or package contents indicator code"
8281,"Transport means ownership indicator code"
8323,"Transport movement code"
8332,"Equipment plan description"
8334,"Movement type description"
8335,"Movement type description code"
8339,"Packaging danger level code"
8341,"Haulage arrangements code"
8351,"Hazard identification code"
8364,"Emergency procedure for ships identifier"
8393,"Returnable package load contents code"
8395,"Returnable package freight payment responsibility code"
8410,"Hazard medical first aid guide identifier"
8453,"Transport means nationality code"
8457,"Excess transportation reason code"
8459,"Excess transportation responsibility code"
8461,"Tunnel Restriction Code"
9003,"Employment details code qualifier"
9004,"Employment category description"
9005,"Employment category description code"
9006,"Qualification classification description"
9007,"Qualification classification description code"
9008,"Occupation description"
9009,"Occupation description code"
9012,"Status reason description"
9013,"Status reason description code"
9015,"Status category code"
9017,"Attribute function code qualifier"
9018,"Attribute description"
9019,"Attribute description code"
9020,"Attribute type description"
9021,"Attribute type description code"
9023,"Definition function code"
9025,"Definition extent code"
9026,"Edit mask format identifier"
9029,"Value definition code qualifier"
9031,"Edit mask representation code"
9035,"Qualification application area code"
9037,"Qualification type code qualifier"
9038,"Facility type description"
9039,"Facility type description code"
9040,"Reservation identifier"
9043,"Reservation identifier code qualifier"
9045,"Basis code qualifier"
9046,"Basis type description"
9047,"Basis type description code"
9048,"Applicability type description"
9049,"Applicability type description code"
9051,"Applicability code qualifier"
9141,"Relationship type code qualifier"
9142,"Relationship description"
9143,"Relationship description code"
9146,"Composite data element tag identifier"
9148,"Directory status identifier"
9150,"Simple data element tag identifier"
9153,"Simple data element character representation code"
9156,"Simple data element maximum length measure"
9158,"Simple data element minimum length measure"
9161,"Code set indicator code"
9162,"Data element tag identifier"
9164,"Group identifier"
9166,"Segment tag identifier"
9169,"Data representation type code"
9170,"Event type description"
9171,"Event type description code"
9172,"Event"
9173,"Event description code"
9175,"Data element usage type code"
9213,"Duty regime type code"
9280,"Validation result text"
9282,"Validation key identifier"
9285,"Validation criteria code"
9302,"Sealing party name"
9303,"Sealing party name code"
9308,"Transport unit seal identifier"
9321,"Application error code"
9353,"Government procedure code"
9411,"Government involvement code"
9415,"Government agency identification code"
9417,"Government action code"
9419,"Service layer code"
9421,"Process stage code qualifier"
9422,"Value text"
9424,"Array cell data description"
9426,"Code value text"
9428,"Array cell structure identifier"
9430,"Footnote set identifier"
9432,"Footnote identifier"
9434,"Code name"
9436,"Clinical intervention description"
9437,"Clinical intervention description code"
9441,"Clinical intervention type code qualifier"
9443,"Attendance type code qualifier"
9444,"Admission type description"
9445,"Admission type description code"
9446,"Discharge type description"
9447,"Discharge type description code"
9448,"File generation command name"
9450,"File compression technique name"
9453,"Code value source code"
9501,"Formula type code qualifier"
9502,"Formula name"
9505,"Formula complexity code"
9507,"Formula sequence code qualifier"
9509,"Formula sequence operand code"
9510,"Formula sequence name"
9601,"Information category code"
9605,"Data code qualifier"
9607,"Yes or no indicator code"
9619,"Adjustment category code"
9620,"Policy limitation identifier"
9623,"Diagnosis type code"
9625,"Related cause code"
9627,"Admission source code"
9629,"Procedure modification code"
9631,"Invoice type code"
9635,"Event details code qualifier"
9636,"Event category description"
9637,"Event category description code"
9639,"Diagnosis category code"
9641,"Service basis code qualifier"
9643,"Supporting evidence type code qualifier"
9645,"Payer responsibility level code"
9647,"Cavity zone code"
9649,"Processing information code qualifier"
